GuideBox_id,Rovi_id,movie_name,release_year,projectx_id_rovi,projectx_id_GuideBox,Dev_GuideBox_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_GuideBox_id_present,variant_present,Comment,Result of mapping
142697,4445543666,40-Love,2014,1025583,1025583,,,,,,Pass,Pass
142699,1155616331,Life Is Beautiful,2014,986971,986971,,,,,,Pass,Pass
142707,1188090979,The Sound and the Fury,2015,867572,867572,,,,,,Pass,Pass
142725,1375256045,Anjaan,2014,48191,48191,,,,,,Pass,Pass
142783,1771366,Tomb of Terror,2004,193155,193155,,,,,,Pass,Pass
142787,471304,Clockmaker,1998,185712,185712,,,,,,Pass,Pass
142789,162671,Frankenstein Reborn!,1998,540167,540167,,,,,,Pass,Pass
142823,754085789,Hiding in Plain Sight,2012,839055,839055,,,,,,Pass,Pass
142824,3426857430,Slow Fade,2012,971673,971673,,,,,,Pass,Pass
142871,1076380,The Telephone,1988,50693,50693,,,,,,Pass,Pass
142874,1069197,Stand Alone,1985,582525,582525,,,,,,Pass,Pass
143108,3323064083,Being 17,2016,969426,969426,,,,,,Pass,Pass
143111,3395050109,The Girl With All the Gifts,2016,161174,161174,,,,,,Pass,Pass
143113,3182178997,Hero of the Underworld,2016,499066,499066,,,,,,Pass,Pass
143150,4160430225,RWD,2015,999306,999306,,,,,,Pass,Pass
143152,1805326278,Mascots,2016,360650,360650,,,,,,Pass,Pass
143153,1552104703,USS Indianapolis: Men of Courage,2016,153041,153041,,,,,,Pass,Pass
143155,3990724415,Jack Goes Home,2016,172226,172226,,,,,,Pass,Pass
143158,4028764683,The River Thief,2016,986595,986595,,,,,,Pass,Pass
143162,3669783317,Tower,2016,980551,980551,,,,,,Pass,Pass
143169,4126133901,Christmas Ranch,2016,998877,998877,,,,,,Pass,Pass
143176,3518684011,Little Sister,2016,984800,984800,,,,,,Pass,Pass
143184,3518683953,Voiceless,2016,980465,980465,,,,,,Pass,Pass
143191,4042609253,Surviving Compton: Dre Suge and Michel'le,2016,32062,32062,,,,,,Pass,Pass
143195,3283950384,U Turn,2016,978716,978716,,,,,,Pass,Pass
143197,4092394442,NY84,2016,999379,999379,,,,,,Pass,Pass
143201,3499412498,Aquarius,2016,153525,153525,,,,,,Pass,Pass
