source,id,SM_id,show_type,link_details,movie_title,series_title,episode_title,release_year,link_expired,Projectx_ids,Variant id present for episode,Variant parent id for Episode,Projectx_series_id,comment,Result,Gb_id duplicate,Duplicate ids in search,Credit_match,Rovi_id count for duplicate,Gb_id count for duplicate,GuideBox_id count for duplicate,Mapped rovi_id for duplicate,Mapped Gb_id for duplicate,Mapped GuideBox_id for duplicate,variant_parent_id_present,variant_parent_id,link_fetched_from,Sources of link
GuideBox,2349474,21394,SE,[{'itunes': '952611259'}],,Ascension,Chapter Three,,False,[13308247],,,,"('No multiple ids for this episode', [{'itunes': '952611259'}])",No multiple ids for this episode,,,,,
GuideBox,2352006,17358,SE,,,After School: Lucky or Not,Episode 6,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,2352016,15998,SE,,,Killer Kids,Knight In Shining Armor and Are You Trying To Seduce Me?,,,,,,,No links for this episode,No links for this episode,,,,,
GuideBox,2352039,10724,SE,[{'itunes': '937476840'}],,"Drugs, Inc.",New Year's Eve NYC,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '937476840'}])",No multiple ids for this episode,,,,,
GuideBox,2365807,19321,SE,[{'itunes': '949211013'}],,The Almighty Johnsons,Does This Look like Asgard? ,,False,[7630668],,,,"('No multiple ids for this episode', [{'itunes': '949211013'}])",No multiple ids for this episode,,,,,
GuideBox,2365821,295,SE,[{'itunes': '951180465'}],,White Collar,Au Revoir,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '951180465'}])",No multiple ids for this episode,,,,,
GuideBox,2401862,16320,SE,[{'itunes': '952638571'}],,The Birthday Boys,Season Finale ,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '952638571'}])",No multiple ids for this episode,,,,,
GuideBox,2402481,13705,SE,[{'hulu': 'deb32776-67ff-41d6-af32-eef3c5cd6e74'}],,Heartland,Cowgirls Don't Cry,,False,[3490890],,,,"('No multiple ids for this episode', [{'hulu': 'deb32776-67ff-41d6-af32-eef3c5cd6e74'}])",No multiple ids for this episode,,,,,
GuideBox,2402513,12393,SE,[{'itunes': '952445720'}],,Comedy Bang! Bang!,The Lonely Island Wear Holiday Sweaters and White Pants,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '952445720'}])",No multiple ids for this episode,,,,,
GuideBox,2402598,21801,SE,[{'itunes': '949463629'}],,The Missing (Starz),Till Death,,False,[],,,,"('No multiple ids for this episode', [{'itunes': '949463629'}])",No multiple ids for this episode,,,,,
GuideBox,2402605,15760,SE,[{'itunes': '1210539550'}],,Pokemon,Bonnie for the Defense!,,False,"[13406484, 3566602]",,,,Duplicate ids not found in search api,Duplicate ids not found in search api,,[],,,,,,,,Null,[],,
GuideBox,2402627,13929,SE,,,The Aquabats! Super Show!,The Thing!,,,,,,,No links for this episode,No links for this episode,,,,,
